epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,401.766,1.05891,4.90929,1.63954,0.00743,0.84722,0.3151,0.22571,0.8305,10.151,1.74397,0.000408333,0.000408333,0.000408333
2,783.831,1.1384,3.89814,1.69997,0.53014,0.20833,0.15994,0.05908,1.44674,11.2971,2.92484,0.000820916,0.000820916,0.000820916
3,1179.84,1.26567,3.86483,1.79552,0.5186,0.17778,0.02034,0.00443,2.23622,11.2311,3.27788,0.00122937,0.00122937,0.00122937
4,1553.38,1.31831,3.54063,1.84134,0.36846,0.29722,0.12591,0.03468,2.27057,15.6337,3.46683,0.00123144,0.00123144,0.00123144
5,1920.23,1.36231,3.08869,1.86527,0.53799,0.33611,0.06737,0.02514,1.40157,74.5207,2.59959,0.00122525,0.00122525,0.00122525
6,2283.41,1.31154,2.61436,1.81773,0.56732,0.28056,0.11291,0.0354,1.35702,34.3203,2.55654,0.00121906,0.00121906,0.00121906
7,2648.6,1.31892,2.62142,1.82927,0.55242,0.10833,0.04123,0.0237,1.44241,5.14754,2.34411,0.00121287,0.00121287,0.00121287
8,3013.91,1.25332,2.61306,1.79131,0.571,0.20278,0.09403,0.05097,1.37707,4.79501,2.44565,0.00120669,0.00120669,0.00120669
9,3375.91,1.28144,2.47819,1.77578,0.75629,0.24317,0.25943,0.15193,1.82275,5.31677,3.40952,0.0012005,0.0012005,0.0012005
10,3740.34,1.24133,2.6177,1.76646,0.80947,0.125,0.08842,0.04038,1.83104,4.33269,2.79083,0.00119431,0.00119431,0.00119431
11,4115.75,1.23606,2.32119,1.78076,0.67832,0.29205,0.19726,0.06253,1.28626,6.75498,2.40927,0.00118812,0.00118812,0.00118812
12,4479.69,1.18714,2.1104,1.73027,0.41689,0.29444,0.20906,0.11281,1.3894,4.10933,2.91278,0.00118194,0.00118194,0.00118194
13,4845.52,1.29157,2.04163,1.80056,0.22426,0.41667,0.34476,0.18158,1.71258,3.1803,3.16723,0.00117575,0.00117575,0.00117575
14,5211.5,1.1639,1.92443,1.68009,0.49702,0.14444,0.16777,0.09513,1.55095,3.06433,2.40704,0.00116956,0.00116956,0.00116956
15,5576.36,1.12878,1.90313,1.66549,0.44554,0.28613,0.21365,0.11159,1.70841,5.25909,2.84544,0.00116337,0.00116337,0.00116337
16,5939.11,1.161,1.94607,1.64792,0.22859,0.14722,0.13006,0.05674,1.42331,4.37648,2.54317,0.00115719,0.00115719,0.00115719
17,6302.7,1.16026,1.81733,1.6646,0.23016,0.53056,0.2884,0.18568,1.69603,4.30336,3.03026,0.001151,0.001151,0.001151
18,6665.33,1.095,1.70952,1.61975,0.44338,0.35833,0.30192,0.17239,1.42447,3.32365,3.02677,0.00114481,0.00114481,0.00114481
19,7029.23,1.07452,1.74416,1.61062,0.5145,0.22778,0.2867,0.20688,1.55746,2.6757,2.94573,0.00113863,0.00113863,0.00113863
20,7393.17,1.13896,1.88029,1.65432,0.18088,0.36111,0.22968,0.13741,1.41341,2.86221,2.14124,0.00113244,0.00113244,0.00113244
21,7759.78,1.09022,1.70006,1.61058,0.46689,0.30833,0.25792,0.13168,1.37582,2.87993,2.32949,0.00112625,0.00112625,0.00112625
22,8123.05,1.09041,1.87666,1.60501,0.32528,0.49167,0.38974,0.20182,1.71151,2.20595,2.92546,0.00112006,0.00112006,0.00112006
23,8485.94,1.08818,1.779,1.60114,0.2639,0.53056,0.33991,0.22437,1.6713,2.96348,3.21297,0.00111388,0.00111388,0.00111388
24,8847.95,1.05234,1.71011,1.59977,0.26882,0.46949,0.32426,0.18199,1.27325,2.4677,2.38328,0.00110769,0.00110769,0.00110769
25,9208.44,1.07972,1.70345,1.59948,0.43637,0.25278,0.2829,0.17462,1.51304,3.2008,2.34552,0.0011015,0.0011015,0.0011015
26,9569.42,0.98324,1.56111,1.53132,0.50096,0.37222,0.36446,0.27099,1.24676,3.44359,2.37542,0.00109531,0.00109531,0.00109531
27,9932.55,0.93646,1.54138,1.47923,0.54122,0.32778,0.34604,0.2226,1.40827,2.59528,2.84696,0.00108913,0.00108913,0.00108913
28,10295.8,0.96213,1.54487,1.51402,0.51455,0.25039,0.29491,0.14783,1.64172,2.5647,2.47939,0.00108294,0.00108294,0.00108294
29,10660.3,1.00739,1.43813,1.56236,0.2501,0.36915,0.33113,0.20187,1.40774,2.29525,2.37544,0.00107675,0.00107675,0.00107675
30,11022.4,1.00107,1.53634,1.53989,0.23401,0.39513,0.25714,0.14877,1.62737,2.67381,2.87641,0.00107056,0.00107056,0.00107056
31,11386.7,0.97517,1.44324,1.53738,0.18303,0.40278,0.24095,0.15366,1.55295,2.65451,2.73255,0.00106437,0.00106437,0.00106437
32,11749.7,1.0569,1.53186,1.57269,0.29074,0.51667,0.41346,0.23823,1.55747,3.27393,2.58251,0.00105819,0.00105819,0.00105819
33,12113.5,0.94857,1.49725,1.48467,0.30267,0.53056,0.35724,0.23805,1.52224,2.51,2.62581,0.001052,0.001052,0.001052
34,12487.6,0.93066,1.49834,1.45883,0.18602,0.55556,0.28358,0.18747,1.58119,4.22954,3.70198,0.00104581,0.00104581,0.00104581
35,12853.2,0.93785,1.50249,1.47933,0.20817,0.33056,0.29405,0.19073,1.80723,3.64858,3.69855,0.00103962,0.00103962,0.00103962
36,13214.6,0.98447,1.50767,1.51559,0.26331,0.38889,0.30321,0.20343,1.49175,3.34037,2.73833,0.00103344,0.00103344,0.00103344
37,13575.9,0.93395,1.45742,1.48848,0.30345,0.41389,0.33242,0.17335,1.26574,2.79493,2.13785,0.00102725,0.00102725,0.00102725
38,13937.2,0.94631,1.45915,1.51214,0.3599,0.3685,0.40407,0.26944,1.53283,2.27643,2.55016,0.00102106,0.00102106,0.00102106
39,14300.4,0.95191,1.43493,1.468,0.22583,0.37896,0.2897,0.17926,1.52281,3.42573,2.6277,0.00101488,0.00101488,0.00101488
40,14660.8,0.94602,1.40454,1.48421,0.20471,0.53056,0.33804,0.22197,1.59127,3.43233,2.96969,0.00100869,0.00100869,0.00100869
41,15022.5,0.93918,1.34645,1.51028,0.24355,0.46667,0.2868,0.17946,1.71834,2.84421,2.91636,0.0010025,0.0010025,0.0010025
42,15381.7,0.84655,1.33158,1.43222,0.22372,0.37491,0.28378,0.18298,1.61007,6.01188,3.17606,0.000996313,0.000996313,0.000996313
43,15742.1,0.93262,1.3505,1.48454,0.31995,0.50556,0.44539,0.27146,1.51548,2.04727,2.84901,0.000990125,0.000990125,0.000990125
44,16103.3,0.85845,1.3372,1.44159,0.26889,0.45556,0.32284,0.21517,1.5594,2.47059,2.97684,0.000983938,0.000983938,0.000983938
45,16466.5,0.84243,1.29085,1.41332,0.30175,0.46667,0.33331,0.2268,1.5357,5.11606,2.88446,0.00097775,0.00097775,0.00097775
46,16827.9,0.84352,1.33133,1.42598,0.39637,0.49005,0.473,0.32147,1.11135,2.65751,2.1566,0.000971562,0.000971562,0.000971562
47,17190.6,0.84232,1.25895,1.40547,0.21278,0.3149,0.17577,0.1239,1.42783,3.51839,2.31348,0.000965375,0.000965375,0.000965375
48,17550.7,0.86201,1.28788,1.41931,0.44743,0.44167,0.42306,0.26235,1.49292,2.9232,3.11084,0.000959187,0.000959187,0.000959187
49,17910,0.81605,1.37445,1.36843,0.32581,0.41667,0.36067,0.25913,1.45862,3.06927,3.25397,0.000953,0.000953,0.000953
50,18270,0.87967,1.22103,1.45531,0.38894,0.60852,0.38456,0.26578,1.10211,2.71702,2.11724,0.000946812,0.000946812,0.000946812
51,18631.2,0.86435,1.37543,1.41807,0.29465,0.53333,0.30384,0.19013,2.1608,2.59937,2.8081,0.000940625,0.000940625,0.000940625
52,18991.3,0.84138,1.22596,1.38566,0.34798,0.35833,0.30668,0.20538,2.28081,4.23331,2.6387,0.000934438,0.000934438,0.000934438
53,19356.2,0.7796,1.23173,1.36127,0.27385,0.41466,0.27285,0.15405,1.70835,2.8052,2.74522,0.00092825,0.00092825,0.00092825
